Time,Channel 2
4.121997600,1
4.122126720,0
4.122251840,1
4.122380960,0
4.122506080,1
4.122635200,0
4.123012640,1
4.123270880,0
4.123396000,1
4.123525120,0
4.123650240,1
4.123779360,0
4.123904480,1
4.124033600,0
4.124411040,1
4.124669280,0
4.124921440,1
4.125050560,0
4.125175680,1
4.125432000,0
4.125809280,1
4.126067520,0
4.126192640,1
4.126321760,0
4.126446880,1
4.126576000,0
4.126701120,1
4.126830240,0
4.127207680,1
4.127338720,0
4.127463840,1
4.127592960,0
4.127718240,1
4.127974400,0
4.128226720,1
4.128353760,0
4.128606080,1
4.128864320,0
4.129116480,1
4.129372800,0
4.129497920,1
4.129627040,0
4.130004320,1
4.130262560,0
4.130514880,1
4.130644000,0
4.130769120,1
4.130898240,0
4.131023360,1
4.131150400,0
4.131402720,1
4.131533760,0
4.131659040,1
4.131788000,0
4.131913280,1
4.132169440,0
4.132294560,1
4.132423680,0
4.132801120,1
4.133059360,0
4.133311520,1
4.133440640,0
4.133565760,1
4.133694880,0
4.133820000,1
4.133947200,0
4.134199360,1
4.134457600,0
4.134582720,1
4.134711840,0
4.134836960,1
4.134966080,0
4.135218400,1
4.135345600,0
4.135597760,1
4.135728800,0
4.135854080,1
4.135983200,0
4.136108320,1
4.136237440,0
4.136362560,1
4.136491680,0
4.136616800,1
4.136743840,0
4.136996160,1
4.137254400,0
4.137506560,1
4.137762880,0
4.137888000,1
4.138017120,0
4.138416320,1
4.139576320,0
4.139665600,1
4.139796800,0
4.140176160,1
4.140559520,0
4.140936800,1
4.141322240,0
4.141701600,1
4.141957760,0
4.142208160,1
4.142466240,0
4.142718560,1
4.142847680,0
4.143227040,1
4.143356160,0
4.143479360,1
4.143737600,0
4.144116960,1
4.144373120,0
4.144750560,1
4.144881600,0
4.145260960,1
4.145644320,0
4.146021760,1
4.146407040,0
4.146786560,1
4.147042720,0
4.147292960,1
4.147551200,0
4.147803520,1
4.147932640,0
4.148312000,1
4.148441120,0
4.148564160,1
4.148822400,0
4.149201760,1
4.149458080,0
4.149962560,1
4.150220800,0
4.150345920,1
4.150475040,0
4.150600160,1
4.150729280,0
4.150854400,1
4.150983520,0
4.151360960,1
4.151619200,0
4.151744320,1
4.151873440,0
4.151998560,1
4.152127680,0
4.152379840,1
4.152507040,0
4.152759200,1
4.153017440,0
4.153142560,1
4.153271680,0
4.153396800,1
4.153525920,0
4.153651040,1
4.153780160,0
4.154157600,1
4.154415840,0
4.154540960,1
4.154670080,0
4.154922240,1
4.155178560,0
4.155556000,1
4.155814240,0
4.156066400,1
4.156195520,0
4.156320640,1
4.156576960,0
4.156954240,1
4.157085440,0
4.157210560,1
4.157466720,0
4.157591840,1
4.157720960,0
4.157846080,1
4.157975200,0
4.158352640,1
4.158610880,0
4.158863040,1
4.159119360,0
4.159244480,1
4.159373600,0
4.159751040,1
4.160009280,0
4.160134400,1
4.160263520,0
4.160515680,1
4.160644800,0
4.160769920,1
4.160897120,0
4.161149280,1
4.161407520,0
4.161659840,1
4.161916000,0
4.162168320,1
4.162295360,0
4.162547680,1
4.162678720,0
4.162803840,1
4.163060160,0
4.163185280,1
4.163314400,0
4.163566560,1
4.163693760,0
4.163946080,1
4.164204160,0
4.164329440,1
4.164458400,0
4.164583680,1
4.164712800,0
4.164837920,1
4.164967040,0
4.165344320,1
4.165602560,0
4.165727680,1
4.165856800,0
4.165981920,1
4.166111040,0
4.166236160,1
4.166365280,0
4.166742720,1
4.167000960,0
4.167253120,1
4.167382240,0
4.167507360,1
4.167763680,0
4.168141120,1
4.168399200,0
4.168524480,1
4.168653440,0
4.168778720,1
4.168907840,0
4.169032960,1
4.169162080,0
4.169539360,1
4.169670560,0
4.169795680,1
4.169924800,0
4.170049920,1
4.170306080,0
4.170558400,1
4.170685440,0
4.170937760,1
4.171196000,0
4.171448160,1
4.171704480,0
4.171829600,1
4.171958720,0
4.172336160,1
4.172594240,0
4.172846560,1
4.172975680,0
4.173100800,1
4.173229920,0
4.173355040,1
4.173482240,0
4.173734400,1
4.173865600,0
4.173990720,1
4.174119840,0
4.174244960,1
4.174501120,0
4.174626240,1
4.174755360,0
4.175132800,1
4.175391040,0
4.175643200,1
4.175772320,0
4.175897440,1
4.176026560,0
4.176151840,1
4.176278880,0
4.176531200,1
4.176789440,0
4.176914560,1
4.177043680,0
4.177168800,1
4.177297920,0
4.177550080,1
4.177677280,0
4.177929440,1
4.178060640,0
4.178185760,1
4.178314880,0
4.178440000,1
4.178569120,0
4.178694240,1
4.178823360,0
4.178948480,1
4.179075520,0
4.179327840,1
4.179586080,0
4.179838240,1
4.180094560,0
4.180219680,1
